,Sr_no,Company_name,Market_cap
0,S.No.,Company Name Name,Market Cap
1,1,Reliance Industries,"₹           16,26,036"
2,2,TCS,"₹           13,25,131"
3,3,HDFC Bank,"₹             8,30,832"
4,4,Infosys,"₹             7,45,368"
5,5,Hind. Unilever,"₹             5,42,253"
6,6,ICICI Bank,"₹             5,14,298"
7,7,H D F C,"₹             4,89,051"
8,8,St Bk of India,"₹             4,29,319"
9,9,Bajaj Finance,"₹             4,24,099"
10,10,Bharti Airtel,"₹             3,88,129"
11,11,Kotak Mah. Bank,"₹             3,69,027"
12,12,Wipro,"₹             3,53,316"
13,13,Asian Paints,"₹             3,16,138"
14,14,HCL Technologies,"₹             3,15,033"
15,15,Avenue Super.,"₹             3,07,123"
16,16,ITC,"₹             2,74,727"
17,17,Bajaj Finserv,"₹             2,65,584"
18,18,Larsen & Toubro,"₹             2,63,253"
19,19,Maruti Suzuki,"₹             2,25,109"
20,20,Adani Green,"₹             2,19,497"
21,21,Axis Bank,"₹             2,17,691"
22,22,UltraTech Cem.,"₹             2,14,002"
23,23,Adani Total Gas,"₹             2,11,457"
24,24,Titan Company,"₹             2,09,278"
25,25,Adani Transmissi,"₹             2,00,623"
26,26,Adani Enterp.,"₹             1,87,094"
27,27,Nestle India,"₹             1,86,171"
28,28,Sun Pharma.Inds.,"₹             1,83,311"
29,29,O N G C,"₹             1,82,854"
30,30,Tata Motors,"₹             1,76,281"
31,31,Tech Mahindra,"₹             1,60,339"
32,32,JSW Steel,"₹             1,60,141"
33,33,Adani Ports,"₹             1,52,151"
34,34,Power Grid Corpn,"₹             1,45,125"
35,35,Tata Steel,"₹             1,40,843"
36,36,Hindustan Zinc,"₹             1,36,816"
37,37,HDFC Life Insur.,"₹             1,35,403"
38,38,Vedanta,"₹             1,32,852"
39,39,NTPC,"₹             1,23,536"
40,40,Pidilite Inds.,"₹             1,22,911"
41,41,Divi’s Lab.,"₹             1,22,209"
42,42,L & T Infotech,"₹             1,19,723"
43,43,SBI Life Insuran,"₹             1,16,297"
44,44,Grasim Inds,"₹             1,13,313"
45,45,I O C L,"₹             1,08,969"
46,46,Zomato Ltd,"₹             1,08,940"
47,47,M & M,"₹             1,06,144"
48,48,FSN E-Commerce,"₹             1,02,463"
49,49,Hindalco Inds.,"₹             1,01,290"
50,50,Dabur India,"₹             1,00,821"
51,51,DLF,"₹             1,00,312"
52,52,Shree Cement,"₹                95,003"
53,53,Bajaj Auto,"₹                94,050"
54,54,Godrej Consumer,"₹                93,235"
55,55,Coal India,"₹                92,256"
56,56,One 97,"₹                90,710"
57,57,Siemens,"₹                88,197"
58,58,SBI Cards,"₹                86,441"
59,59,Britannia Inds.,"₹                85,739"
60,60,Havells India,"₹                85,227"
61,61,B P C L,"₹                84,740"
62,62,ICICI Pru Life,"₹                83,145"
63,63,Dr Reddy’s Labs,"₹                76,497"
64,64,Mindtree,"₹                75,680"
65,65,Interglobe Aviat,"₹                75,580"
66,66,Apollo Hospitals,"₹                74,835"
67,67,Ambuja Cements,"₹                74,620"
68,68,Berger Paints,"₹                73,911"
69,69,IndusInd Bank,"₹                71,917"
70,70,Indus Towers,"₹                71,349"
71,71,Cipla,"₹                71,078"
72,72,Info Edg.(India),"₹                71,055"
73,73,Tata Power Co.,"₹                70,889"
74,74,Motherson Sumi,"₹                70,658"
75,75,ICICI Lombard,"₹                69,094"
76,76,Tata Consumer,"₹                68,227"
77,77,I R C T C,"₹                68,072"
78,78,Eicher Motors,"₹                67,603"
79,79,United Spirits,"₹                67,087"
80,80,Marico,"₹                65,833"
81,81,SRF,"₹                65,641"
82,82,Piramal Enterp.,"₹                61,322"
83,83,Macrotech Devel.,"₹                60,790"
84,84,Mphasis,"₹                60,262"
85,85,Gland Pharma,"₹                59,621"
86,86,Muthoot Finance,"₹                58,768"
87,87,L&T Technology,"₹                58,182"
88,88,GAIL (India),"₹                57,525"
89,89,Bajaj Holdings,"₹                57,269"
90,90,UPL,"₹                56,096"
91,91,Godrej Propert.,"₹                55,436"
92,92,IDBI Bank,"₹                53,014"
93,93,Torrent Pharma.,"₹                52,367"
94,94,HDFC AMC,"₹                51,927"
95,95,Bharat Electron,"₹                50,474"
96,96,PB Fintech.,"₹                49,533"
97,97,Hero Motocorp,"₹                49,329"
98,98,Bosch,"₹                48,689"
99,99,JSW Energy,"₹                48,491"
100,100,Jubilant Food.,"₹                48,455"
